grossUSD,numTicketsSold,ticketPriceFrom,ticketPriceTo,artist_id,artist_name,artist_url,outlier_yn
5253.0,397,13.0,15.0,64786.0,Ezra Furman,https://www.pollstar.com/artist/ezra-furman-64786,False
7108.0,191,28.0,38.0,191352.0,Shooter Jennings With Waymore’s Outlaws,https://www.pollstar.com/artist/shooter-jennings-with-waymores-outlaws-191352,False
134425.0,1903,45.0,79.0,41817.0,Dave Mason,https://www.pollstar.com/artist/dave-mason-41817,False
74820.0,4553,20.0,30.0,8854.0,Slightly Stoopid,https://www.pollstar.com/artist/slightly-stoopid-8854,False
3261.32,351,9.5,0.0,44597.0,Charlie Parr,https://www.pollstar.com/artist/charlie-parr-44597,False
11952.0,462,25.0,28.0,183135.0,Hard Working Americans,https://www.pollstar.com/artist/hard-working-americans-183135,False
2211320.0,16770,55.0,150.0,46614.0,Bruce Springsteen & The E Street Band,https://www.pollstar.com/artist/bruce-springsteen-the-e-street-band-46614,True
66250.0,2650,25.0,0.0,199013.0,Vulfpeck,https://www.pollstar.com/artist/vulfpeck-199013,False
86230.0,2258,37.5,42.5,193799.0,Tennyson,https://www.pollstar.com/artist/tennyson-193799,False
73082.4,1612,27.5,80.0,44495.0,Chris Tomlin,https://www.pollstar.com/artist/chris-tomlin-44495,False
11577.0,579,19.0,23.0,203117.0,Thin Lips,https://www.pollstar.com/artist/thin-lips-203117,False
168.0,14,12.0,0.0,183336.0,Andrew St. James,https://www.pollstar.com/artist/andrew-st-james-183336,False
280.0,28,10.0,0.0,173652.0,Pure Bathing Culture,https://www.pollstar.com/artist/pure-bathing-culture-173652,False
450938.0,6079,36.0,96.0,204665.0,DNCE,https://www.pollstar.com/artist/dnce-204665,True
790.0,79,10.0,0.0,204567.0,Gordi,https://www.pollstar.com/artist/gordi-204567,False
7560.0,189,40.0,0.0,12921.0,Rik Emmett,https://www.pollstar.com/artist/rik-emmett-12921,False
4924530.0,36716,49.0,250.0,12030.0,Rod Stewart,https://www.pollstar.com/artist/rod-stewart-12030,True
35565.0,667,35.0,75.0,53378.0,Aaron Neville,https://www.pollstar.com/artist/aaron-neville-53378,False
9790.0,371,26.0,28.0,18239.0,Okkervil River,https://www.pollstar.com/artist/okkervil-river-18239,False
35105.0,1003,35.0,0.0,143900.0,Swans,https://www.pollstar.com/artist/swans-143900,False
1319731.0,8721,54.0,495.0,47161.0,Britney Spears,https://www.pollstar.com/artist/britney-spears-47161,True
12348.0,591,20.0,22.0,720193.0,"""Austin City Limits Music Festival Late Night Shows""",https://www.pollstar.com/artist/austin-city-limits-music-festival-late-night-shows-720193,False
108.0,12,7.0,10.0,190915.0,Show Me The Body,https://www.pollstar.com/artist/show-me-the-body-190915,False
7565.0,360,20.0,25.0,75168.0,Moon Taxi,https://www.pollstar.com/artist/moon-taxi-75168,False
696.0,51,10.0,20.0,198016.0,Madaila,https://www.pollstar.com/artist/madaila-198016,False
716745.0,19144,11.5,75.0,47896.0,blink-182,https://www.pollstar.com/artist/blink-182-47896,True
16559.0,771,21.0,23.0,8722.0,The Slackers,https://www.pollstar.com/artist/the-slackers-8722,False
567.0,47,10.0,12.0,208799.0,Wild Planes,https://www.pollstar.com/artist/wild-planes-208799,False
772555.0,101963,3.0,10.0,148544.0,A Thousand Horses,https://www.pollstar.com/artist/a-thousand-horses-148544,True
53400.0,1488,35.0,39.0,105733.0,Power Trip,https://www.pollstar.com/artist/power-trip-105733,False
16604.0,580,27.5,30.0,92899.0,The Tallest Man On Earth,https://www.pollstar.com/artist/the-tallest-man-on-earth-92899,False
1095.0,73,15.0,0.0,146994.0,Escort,https://www.pollstar.com/artist/escort-146994,False
487919.0,6576,39.5,125.0,16348.0,Pet Shop Boys,https://www.pollstar.com/artist/pet-shop-boys-16348,True
49270.0,1709,30.0,0.0,3913.0,Todd Snider,https://www.pollstar.com/artist/todd-snider-3913,False
6590665.0,41813,55.0,500.0,37957.0,Elton John,https://www.pollstar.com/artist/elton-john-37957,True
6140.0,381,16.0,18.0,121808.0,My Ticket Home,https://www.pollstar.com/artist/my-ticket-home-121808,False
282.0,33,8.0,12.0,180676.0,Nina Diaz,https://www.pollstar.com/artist/nina-diaz-180676,False
35130.0,1304,26.0,51.0,32593.0,Henry Rollins,https://www.pollstar.com/artist/henry-rollins-32593,False
3370.0,337,10.0,0.0,122686.0,Tenement,https://www.pollstar.com/artist/tenement-122686,False
29974.78,1165,18.75,50.0,151780.0,Rend Collective,https://www.pollstar.com/artist/rend-collective-151780,False
79660.0,2276,35.0,0.0,183081.0,Melanie Martinez,https://www.pollstar.com/artist/melanie-martinez-183081,False
738668.0,25222,30.0,59.5,91696.0,Mumford & Sons,https://www.pollstar.com/artist/mumford-sons-91696,True
1074.0,295,3.0,12.0,60491.0,The Domestics,https://www.pollstar.com/artist/the-domestics-60491,False
3960.0,330,12.0,0.0,104107.0,Mixtape,https://www.pollstar.com/artist/mixtape-104107,False
50136.0,1169,22.0,125.0,12851.0,Rick Springfield,https://www.pollstar.com/artist/rick-springfield-12851,False
168510.0,4546,35.0,45.0,178211.0,James Bay ,https://www.pollstar.com/artist/james-bay-178211,False
110500.0,2641,30.0,61.0,28555.0,Jonny Lang,https://www.pollstar.com/artist/jonny-lang-28555,False
181613.5,6811,29.87,150.0,18612.0,New Edition,https://www.pollstar.com/artist/new-edition-18612,False
153418.0,1973,69.5,99.5,727.0,Yanni,https://www.pollstar.com/artist/yanni-727,False
75000.0,1500,50.0,0.0,19312.0,Murder By Death,https://www.pollstar.com/artist/murder-by-death-19312,False
60379.0,1248,40.0,55.0,49469.0,Béla Fleck & The Flecktones,https://www.pollstar.com/artist/bla-fleck-the-flecktones-49469,False
2115.0,114,15.0,20.0,19328.0,Mutlu,https://www.pollstar.com/artist/mutlu-19328,False
28200.0,470,55.0,65.0,12809.0,Richard Marx,https://www.pollstar.com/artist/richard-marx-12809,False
196000.0,5600,35.0,0.0,175749.0,Chvrches,https://www.pollstar.com/artist/chvrches-175749,False
78715.0,2249,35.0,0.0,187012.0,Glass Animals,https://www.pollstar.com/artist/glass-animals-187012,False
20845.0,1000,20.0,25.0,9144.0,Sister Hazel,https://www.pollstar.com/artist/sister-hazel-9144,False
2751749.0,22414,59.5,205.0,14086.0,Reba McEntire,https://www.pollstar.com/artist/reba-mcentire-14086,True
310736.0,6044,39.5,75.0,168124.0,Griz,https://www.pollstar.com/artist/griz-168124,True
210787.5,3605,34.5,100.0,47653.0,Bob Dylan,https://www.pollstar.com/artist/bob-dylan-47653,False
5478.0,299,18.0,20.0,146598.0,Darlingside,https://www.pollstar.com/artist/darlingside-146598,False
137956.5,2787,49.5,55.0,168015.0,Chance The Rapper,https://www.pollstar.com/artist/chance-the-rapper-168015,False
2655.0,119,20.0,25.0,27643.0,Justin Townes Earle,https://www.pollstar.com/artist/justin-townes-earle-27643,False
1584380.0,12469,95.0,140.0,52523.0,AC/DC,https://www.pollstar.com/artist/acdc-52523,True
64196.0,1721,36.0,110.0,196939.0,Twin Limb,https://www.pollstar.com/artist/twin-limb-196939,False
23022.0,816,28.0,30.0,173161.0,Sunflower Dead,https://www.pollstar.com/artist/sunflower-dead-173161,False
4650.0,310,15.0,0.0,1576.0,The Whigs,https://www.pollstar.com/artist/the-whigs-1576,False
18994.0,843,22.0,26.0,101732.0,Reagan Youth,https://www.pollstar.com/artist/reagan-youth-101732,False
215136.0,4191,39.0,69.0,87470.0,Macklemore & Ryan Lewis,https://www.pollstar.com/artist/macklemore-ryan-lewis-87470,False
160244.0,3803,27.0,143.0,59752.0,Boris Giltburg,https://www.pollstar.com/artist/boris-giltburg-59752,False
11860.0,1186,10.0,0.0,192820.0,The Way Down Wanderers,https://www.pollstar.com/artist/the-way-down-wanderers-192820,False
174365.0,2037,48.75,98.75,53019.0,38 Special,https://www.pollstar.com/artist/38-special-53019,False
49621.5,2053,27.5,49.5,21869.0,Matt Nathanson,https://www.pollstar.com/artist/matt-nathanson-21869,False
205121.5,3553,46.5,96.5,168015.0,Chance The Rapper,https://www.pollstar.com/artist/chance-the-rapper-168015,False
51774.0,1532,29.5,37.5,89752.0,Lita Ford,https://www.pollstar.com/artist/lita-ford-89752,False
34217.2,595,34.0,92.0,33823.0,Graham Nash,https://www.pollstar.com/artist/graham-nash-33823,False
2272.5,115,9.5,29.5,33351.0,Griffin House,https://www.pollstar.com/artist/griffin-house-33351,False
9048.0,339,27.0,32.0,1064.0,The Weight Band,https://www.pollstar.com/artist/the-weight-band-1064,False
40310.0,1814,20.0,25.0,18251.0,Old 97's,https://www.pollstar.com/artist/old-97s-18251,False
5000.0,200,25.0,0.0,118955.0,30db,https://www.pollstar.com/artist/30db-118955,False
43005.0,828,25.0,65.0,137915.0,The Texas Tenors,https://www.pollstar.com/artist/the-texas-tenors-137915,False
11211.5,428,21.0,29.0,209117.0,Rumours - A Fleetwood Mac Tribute,https://www.pollstar.com/artist/rumours-a-fleetwood-mac-tribute-209117,False
753.0,57,13.0,15.0,208401.0,Matthew Logan Vasquez,https://www.pollstar.com/artist/matthew-logan-vasquez-208401,False
2615.0,152,15.0,20.0,157675.0,Brick By Brick,https://www.pollstar.com/artist/brick-by-brick-157675,False
2434.38,262,9.5,0.0,44597.0,Charlie Parr,https://www.pollstar.com/artist/charlie-parr-44597,False
22065.0,948,22.5,25.0,22285.0,Melt-Banana,https://www.pollstar.com/artist/melt-banana-22285,False
7642.0,378,19.0,24.0,32651.0,Here Come The Mummies,https://www.pollstar.com/artist/here-come-the-mummies-32651,False
107480.0,4082,15.0,55.0,174474.0,KB,https://www.pollstar.com/artist/kb-174474,False
13324.0,345,22.0,43.0,22744.0,Marty Stuart,https://www.pollstar.com/artist/marty-stuart-22744,False
14820.0,692,20.0,25.0,68252.0,Cody Johnson,https://www.pollstar.com/artist/cody-johnson-68252,False
3715.0,122,25.0,35.0,738207.0,Lindsay Lou,https://www.pollstar.com/artist/lindsay-lou-738207,False
7860.0,393,20.0,0.0,2918.0,The Vaccines,https://www.pollstar.com/artist/the-vaccines-2918,False
2700.0,200,12.0,15.0,209983.0,Felly,https://www.pollstar.com/artist/felly-209983,False
21690.0,482,46.0,0.0,23098.0,Madeleine Peyroux,https://www.pollstar.com/artist/madeleine-peyroux-23098,False
6048.0,504,10.0,12.0,27990.0,Jon Wolfe,https://www.pollstar.com/artist/jon-wolfe-27990,False
113850.0,2300,49.5,0.0,45651.0,Cake,https://www.pollstar.com/artist/cake-45651,False
217079.0,3298,40.0,95.0,29245.0,Joan Baez,https://www.pollstar.com/artist/joan-baez-29245,False
2664.0,201,12.0,15.0,61616.0,Ben Sollee,https://www.pollstar.com/artist/ben-sollee-61616,False
311642.0,4881,25.0,85.0,43394.0,Counting Crows,https://www.pollstar.com/artist/counting-crows-43394,True
98034.5,2556,29.5,150.0,187931.0,Home Free,https://www.pollstar.com/artist/home-free-187931,False
163082.0,2571,41.5,81.5,49320.0,The Beach Boys,https://www.pollstar.com/artist/the-beach-boys-49320,False
4845.0,373,12.0,15.0,208556.0,Gazebos,https://www.pollstar.com/artist/gazebos-208556,False
45000.0,1000,45.0,0.0,50108.0,Average White Band,https://www.pollstar.com/artist/average-white-band-50108,False
12477.0,491,25.0,27.0,32300.0,Hatebreed,https://www.pollstar.com/artist/hatebreed-32300,False
2563083.0,63696,43.33,85.0,41941.0,Dave Matthews Band,https://www.pollstar.com/artist/dave-matthews-band-41941,True
1082.0,140,7.0,10.0,208216.0,Emerson Jay,https://www.pollstar.com/artist/emerson-jay-208216,False
13224.0,519,25.0,28.0,94454.0,Lecrae,https://www.pollstar.com/artist/lecrae-94454,False
2600.0,104,25.0,0.0,22910.0,Mary Fahl,https://www.pollstar.com/artist/mary-fahl-22910,False
1966795.0,34312,44.5,328.0,209402.0,Jim Breuer And The Loud And Rowdy,https://www.pollstar.com/artist/jim-breuer-and-the-loud-and-rowdy-209402,True
531271.48,11519,25.0,125.0,41191.0,Def Leppard,https://www.pollstar.com/artist/def-leppard-41191,True
35433.0,1719,20.0,35.0,158760.0,Mike Ryan,https://www.pollstar.com/artist/mike-ryan-158760,False
109052.25,1691,39.5,97.5,16574.0,Paul Anka,https://www.pollstar.com/artist/paul-anka-16574,False
10296.0,290,32.0,42.0,34372.0,Greg Brown,https://www.pollstar.com/artist/greg-brown-34372,False
1845.0,123,15.0,0.0,176525.0,Antwon,https://www.pollstar.com/artist/antwon-176525,False
83898.0,2844,29.5,0.0,153613.0,The Chris Robinson Brotherhood,https://www.pollstar.com/artist/the-chris-robinson-brotherhood-153613,False
6924.0,441,15.0,0.0,209483.0,Save Us From The Archon,https://www.pollstar.com/artist/save-us-from-the-archon-209483,False
225.0,45,5.0,0.0,211351.0,Jacuzzi Puma,https://www.pollstar.com/artist/jacuzzi-puma-211351,False
5760.0,384,15.0,0.0,167319.0,Saintseneca,https://www.pollstar.com/artist/saintseneca-167319,False
10000.0,500,20.0,25.0,199120.0,NF,https://www.pollstar.com/artist/nf-199120,False
79999.0,2744,25.0,35.0,8336.0,SOJA,https://www.pollstar.com/artist/soja-8336,False
2790.0,279,10.0,0.0,193738.0,Social Animals,https://www.pollstar.com/artist/social-animals-193738,False
71856.8,902,56.5,96.5,29393.0,Jennifer Nettles,https://www.pollstar.com/artist/jennifer-nettles-29393,False
21496.0,408,35.0,65.0,39585.0,Dream Theater,https://www.pollstar.com/artist/dream-theater-39585,False
3104002.72,48139,64.48,0.0,34920.0,Garth Brooks,https://www.pollstar.com/artist/garth-brooks-34920,True
23508.1,498,29.0,59.0,169876.0,Tim And Myles Thompson,https://www.pollstar.com/artist/tim-and-myles-thompson-169876,False
306.0,29,10.0,0.0,208299.0,Jay Rano,https://www.pollstar.com/artist/jay-rano-208299,False
260181.0,2667,75.0,326.0,18330.0,Olivia Newton-John,https://www.pollstar.com/artist/olivia-newton-john-18330,True
383746.0,11482,25.0,130.0,41191.0,Def Leppard,https://www.pollstar.com/artist/def-leppard-41191,True
19874.8,448,35.0,51.0,23396.0,Lucie Arnaz,https://www.pollstar.com/artist/lucie-arnaz-23396,False
2680.0,178,14.0,16.0,204463.0,Whitney,https://www.pollstar.com/artist/whitney-204463,False
1642838.0,25614,55.0,65.0,39802.0,The Chicks,https://www.pollstar.com/artist/the-chicks-39802,True
1775.0,89,15.0,20.0,28401.0,John Toomey,https://www.pollstar.com/artist/john-toomey-28401,False
6369.0,389,15.0,17.0,64474.0,Emily King,https://www.pollstar.com/artist/emily-king-64474,False
74460.0,1939,14.75,199.0,190884.0,Ryland,https://www.pollstar.com/artist/ryland-190884,False
5670.0,114,45.0,60.0,27570.0,Junior Brown,https://www.pollstar.com/artist/junior-brown-27570,False
366443.0,3733,50.5,160.5,167996.0,Julion Alvarez,https://www.pollstar.com/artist/julion-alvarez-167996,True
18788.5,709,29.5,29.5,203814.0,Failure Anthem,https://www.pollstar.com/artist/failure-anthem-203814,False
9744.0,540,18.0,20.0,180587.0,Hop Along,https://www.pollstar.com/artist/hop-along-180587,False
12596.0,773,16.0,18.0,3374.0,Trivium,https://www.pollstar.com/artist/trivium-3374,False
1725.0,115,15.0,0.0,6202.0,Subhumans,https://www.pollstar.com/artist/subhumans-6202,False
372106.0,7938,46.0,0.0,784.0,Widespread Panic,https://www.pollstar.com/artist/widespread-panic-784,True
38004.0,1314,28.5,30.0,176715.0,Tory Lanez,https://www.pollstar.com/artist/tory-lanez-176715,False
4665.0,311,15.0,0.0,148144.0,Lincoln Durham,https://www.pollstar.com/artist/lincoln-durham-148144,False
41400.0,1200,34.5,0.0,107099.0,David Wax Museum,https://www.pollstar.com/artist/david-wax-museum-107099,False
39785.0,1091,21.5,41.5,212467.0,Lacy Cavalier,https://www.pollstar.com/artist/lacy-cavalier-212467,False
63035.0,2423,15.0,35.0,139421.0,The Head And The Heart,https://www.pollstar.com/artist/the-head-and-the-heart-139421,False
321949.0,3202,104.5,286.0,91571.0,Donny & Marie Osmond,https://www.pollstar.com/artist/donny-marie-osmond-91571,True
47764.0,1213,22.0,100.0,6162.0,Switchfoot,https://www.pollstar.com/artist/switchfoot-6162,False
93120.0,1382,53.0,100.0,178178.0,The Piano Guys,https://www.pollstar.com/artist/the-piano-guys-178178,False
75000.0,1000,75.0,0.0,29287.0,Jeffrey Osborne,https://www.pollstar.com/artist/jeffrey-osborne-29287,False
582490.0,8500,36.75,71.75,24882.0,Little Big Town,https://www.pollstar.com/artist/little-big-town-24882,True
45311.5,832,39.5,59.5,14238.0,Rachelle Ferrell,https://www.pollstar.com/artist/rachelle-ferrell-14238,False
1081.0,94,11.5,0.0,81602.0,Plants & Animals,https://www.pollstar.com/artist/plants-animals-81602,False
1144566.69,10185,49.5,299.5,19556.0,Nas,https://www.pollstar.com/artist/nas-19556,True
2155.0,68,20.0,35.0,132859.0,Amy Helm,https://www.pollstar.com/artist/amy-helm-132859,False
10197.0,972,10.0,15.0,203617.0,Luke Combs,https://www.pollstar.com/artist/luke-combs-203617,False
64200.0,2140,30.0,0.0,98807.0,The Bright Light Social Hour,https://www.pollstar.com/artist/the-bright-light-social-hour-98807,False
30432.5,1550,19.5,22.0,209359.0,Russ,https://www.pollstar.com/artist/russ-209359,False
3240.0,270,12.0,0.0,196424.0,Susto,https://www.pollstar.com/artist/susto-196424,False
20475.0,585,27.0,35.0,138763.0,Tinashe,https://www.pollstar.com/artist/tinashe-138763,False
7500.0,300,15.0,35.0,14060.0,ReBirth Brass Band,https://www.pollstar.com/artist/rebirth-brass-band-14060,False
26378.0,1199,22.0,0.0,162804.0,The Struts,https://www.pollstar.com/artist/the-struts-162804,False
74492.75,1977,35.0,85.0,21827.0,Matisyahu,https://www.pollstar.com/artist/matisyahu-21827,False
14585.0,653,20.0,25.0,181434.0,Bud's Collective ,https://www.pollstar.com/artist/buds-collective-181434,False
216230.0,2614,22.5,152.5,211157.0,Magcon,https://www.pollstar.com/artist/magcon-211157,False
